movieId,Title,Name,Genres,Poster Path
39,Spellbound,Spellbound,"Animation, Fantasy, Family, Adventure, Comedy",https://image.tmdb.org/t/p/w500/xFSIygDiX70Esp9dheCgGX0Nj77.jpg
40,Arcadian,Arcadian,"Action, Horror, Thriller, Science Fiction",https://image.tmdb.org/t/p/w500/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg
41,Cash Out,Cash Out,"Action, Thriller",https://image.tmdb.org/t/p/w500/xBJnIvRdL0nDHgvivr6EgBQizes.jpg
42,Mary,Mary,"Drama, History, Action",https://image.tmdb.org/t/p/w500/intUJJZ4PzuRITtidCSOVhtB8aO.jpg
43,Survive,Survivre,"Thriller, Adventure, Action, Science Fiction",https://image.tmdb.org/t/p/w500/7fR3KxswtY8OHHZuOUB9td58CRX.jpg
44,How the Grinch Stole Christmas,How the Grinch Stole Christmas,"Family, Comedy, Fantasy",https://image.tmdb.org/t/p/w500/AmUs3hximCKa90sHuIRr5Bz8ci5.jpg
45,The Count of Monte Cristo,Le Comte de Monte-Cristo,"Action, Adventure, Drama",https://image.tmdb.org/t/p/w500/7O0WDGsa4lBzqv3uaB1tp8UvFK3.jpg
46,Wake Up,Wake Up,"Horror, Thriller, Action",https://image.tmdb.org/t/p/w500/erEAU7ygq2XFjziI3FpAdMajJFZ.jpg
47,Dear Santa,Dear Santa,"Comedy, Fantasy",https://image.tmdb.org/t/p/w500/fRbDHbGBXg6kwQYr3CRYeKPJW5q.jpg
48,Remnant,Remnant,"Science Fiction, Horror, Thriller",https://image.tmdb.org/t/p/w500/nsdnZqEVBhlNoBFy7iGBbtS9sbp.jpg
49,Pídeme lo que quieras,Pídeme lo que quieras,"Romance, Drama",https://image.tmdb.org/t/p/w500/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg
50,Japanese Mom,일본 엄마,"Romance, Drama",https://image.tmdb.org/t/p/w500/hq1EaYIqUNrPM3QFYAbnH2UHoX8.jpg
51,We Live in Time,We Live in Time,"Romance, Drama",https://image.tmdb.org/t/p/w500/oeDNBgnlGF6rnyX1P1K8Vl2f3lW.jpg
52,Dominique,Dominique,"Action, Thriller",https://image.tmdb.org/t/p/w500/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg
53,Moana,Moana,"Adventure, Comedy, Family, Fantasy",https://image.tmdb.org/t/p/w500/ys0jZr0quHERDUEoCboGQEKPvgQ.jpg
54,TOGEFILM - Mei Mei,TOGEFILM - Mei Mei,"Drama, Romance",https://image.tmdb.org/t/p/w500/mCJ6shuScPnCh2CS68sPMxGH4UP.jpg
55,My Grandfather's Demons,Os Demónios do Meu Avô,"Animation, Drama, Fantasy",https://image.tmdb.org/t/p/w500/fPoUd6lm011MUCH54aNeMsDJl7z.jpg
56,Subservience,Subservience,"Science Fiction, Thriller, Horror",https://image.tmdb.org/t/p/w500/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
57,OVERLORD: The Sacred Kingdom,劇場版「オーバーロード」聖王国編,"Action, Adventure, Animation, Fantasy",https://image.tmdb.org/t/p/w500/jEvytxNa5mfW7VAUmDWsZtIdATc.jpg
58,The Grinch,The Grinch,"Animation, Family, Comedy, Fantasy",https://image.tmdb.org/t/p/w500/smxA8yvZ0LzDPer9BIRd4pyOpx1.jpg
59,Sing: Thriller,Sing: Thriller,"Animation, Family, Comedy",https://image.tmdb.org/t/p/w500/i77OInTKcrnRlAozFOaB6D5mk15.jpg
60,Venom,Venom,"Science Fiction, Action",https://image.tmdb.org/t/p/w500/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
61,Battle for the Western Front,Battle for the Western Front,War,https://image.tmdb.org/t/p/w500/ooHEL3XyLYu3hus5cMnpjeH4e7A.jpg
62,Azrael,Azrael,"Action, Horror, Thriller",https://image.tmdb.org/t/p/w500/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg
63,Venom: Let There Be Carnage,Venom: Let There Be Carnage,"Science Fiction, Action, Adventure",https://image.tmdb.org/t/p/w500/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg
64,Flow,Straume,"Animation, Fantasy, Adventure",https://image.tmdb.org/t/p/w500/enRimDhtFfb7hNTQlOjrgK8O8UO.jpg
65,Bad Boys: Ride or Die,Bad Boys: Ride or Die,"Action, Comedy",https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg
66,Freedom,Libre,"Action, Romance, Drama",https://image.tmdb.org/t/p/w500/b2YL2kncIqlcDcqly78AsOPJi6r.jpg
67,Skin. Like. Sun.,Des jours plus belles que la nuit,Romance,https://image.tmdb.org/t/p/w500/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg
68,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,"Comedy, Family, Adventure",https://image.tmdb.org/t/p/w500/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg
69,An Almost Christmas Story,An Almost Christmas Story,"Animation, Adventure, Fantasy, Family",https://image.tmdb.org/t/p/w500/mQC3nIJ9DQ74t9vFzUjqP8eohgX.jpg
70,Juror #2,Juror #2,"Crime, Drama",https://image.tmdb.org/t/p/w500/ugQkpGajKFQ8eyOEhGheR0HfWQ.jpg
71,Whisper of the Witch,Заклятье. Шепот ведьм,"Horror, Thriller",https://image.tmdb.org/t/p/w500/raDMchyq3dJMqso2TVh75A123Xb.jpg
72,SpongeBob Squarepants: Kreepaway Kamp,SpongeBob Squarepants: Kreepaway Kamp,"TV Movie, Family, Comedy, Horror, Animation",https://image.tmdb.org/t/p/w500/blRsgsexoBqnjcEJkV8beKAVT6J.jpg
73,Joker: Folie à Deux,Joker: Folie à Deux,"Drama, Crime, Thriller",https://image.tmdb.org/t/p/w500/aciP8Km0waTLXEYf5ybFK5CSUxl.jpg
